,sentence_source,label,predicted,accuracy,ks_test,best_distribution,label_notes,sentence,e1,e2,e1_e2,likelihood_e1_arrow_e2,nytimes_e1_arrow_e2,edu_e1_arrow_e2,skynews_e1_arrow_e2,bbc_e1_arrow_e2,abc.net.au_e1_arrow_e2,springer_e1_arrow_e2,mit.edu_e1_arrow_e2,nationalgeographic_e1_arrow_e2,time_e1_arrow_e2,wikipedia_e1_arrow_e2,oreilly_e1_arrow_e2,gov.au_e1_arrow_e2,IMDB_e1_arrow_e2,wiley_e1_arrow_e2,smh_e1_arrow_e2,economist_e1_arrow_e2,ncbi.nlm.nih.gov_e1_arrow_e2,nejm_e1_arrow_e2
10,161,0,0,1,"KstestResult(statistic=0.1323529411764706, pvalue=0.9275279448492033)","{'uniform': {'loc': 0.006896551724137931, 'scale': 0.8087794280245963}}",dummy,Get neck pain relief by easing tension in the shoulders and upper back.,neck pain relief,easing tension,neck pain relief easing tension,0,0.775862069,0.424657534,,0.491732566,0.588772846,0.348925411,0.590625,0.326086957,0.556464812,0.387434555,0.678571429,0.211786372,0.277326107,0.229299363,0.637168142,0.81567598,0.100098619,0.006896552
11,163,0,0,1,"KstestResult(statistic=0.20777777777777778, pvalue=0.46084713490000295)","{'beta': {'a': 1.6368276460024118, 'b': 0.768186717335877, 'loc': -0.02822821110396395, 'scale': 0.5158963725389417}}",dummy,Most of the taste of strong onions comes from the smell.,taste,smell,taste smell,0,0.156881165,0.204859194,0.487179487,0.114194237,0.487668161,0.337398374,0.363143631,0.470833333,0.289740699,0.324758842,0.256910569,0.283093054,0.376436782,0.303797468,0.326855124,0.29216152,0.366883117,0.403993856
12,168,0,1,0,None,,dummy,A cancer survivor writes about the relatively rare occurrence of calcification of the breast after radiation therapy.,calcification,radiation therapy,calcification radiation therapy,1,0.797598628,0.940751752,,0.84036488,0.630662021,0.673667205,0.772189349,,,0.576335878,,0.935798113,,0.743932039,,0.537059538,0.947214688,0.589645254
13,169,0,0,1,None,,dummy,"Losing land to new white settlers, non-payment, past broken treaties, plus food shortages and famine following crop failure led to great discontent among the Dakota people.",famine,crop failure,famine crop failure,-1,0.646017699,0.918185066,,0.419512195,0.408312958,0.730317064,0.408775982,0.702592087,0.936875179,0.487838777,0.83107275,0.800996796,0.144818976,0.797045101,0.799120235,0.641165756,0.76702509,0.579422383
14,171,0,0,1,None,,dummy,Subjects will be secured at all times with a safety harness to prevent injury from falling.,injury,falling,injury falling,-1,0.395089286,0.357285429,0.3378119,0.466424682,0.23908046,0.084265211,0.641233766,0.561959654,0.444186047,0.071111111,0.696902655,0.172397439,0.5504,0.104457927,0.222674813,0.838043478,0.003948166,0.141438032
15,172,0,1,0,None,,dummy,Diabetes drug shows promise for preventing brain injury from radiation therapy.,brain injury,radiation therapy,brain injury radiation therapy,1,0.150242326,0.422709924,,0.020797472,0.051405851,0.372654155,0.294582393,0.194679565,0.142940151,0.206002729,0.356321839,0.36858006,0.046991656,0.377695625,0.055285743,0.188727583,0.268004723,0.508264463
16,174,0,0,1,"KstestResult(statistic=0.21588235294117647, pvalue=0.437364931140367)","{'beta': {'a': 0.6808455773443542, 'b': 0.6090435432072384, 'loc': -0.06885929284701868, 'scale': 1.0296494754270846}}",dummy,Entrepreneurship out of necessity is quite common in Europe where 60% of female headed businesses in Northern Europe and 70% in Southern Europe are established for this reason.,Entrepreneurship,necessity,Entrepreneurship necessity,0,0.415640394,0.137082601,,0.043096116,0.301919721,0.927267459,0.360681115,0.387466902,0.356934307,0.309864064,0.205020921,0.960790183,0.251503006,0.837060703,0.017229738,0.16271722,0.916615573,0.501004016
17,175,0,0,1,None,,dummy,It has helped to revive a city whose primary natural resource -- its charm -- is constantly threatened with extinction from overdevelopment.,extinction,overdevelopment,extinction overdevelopment,-1,0.078238834,0.008724034,,0.021207178,0.022179275,0.020473705,0.041916168,0.006712937,0.022011006,0.003295979,,0.139834407,0.01588439,0.008560621,0.121343445,0.063922422,0.022303697,
18,177,0,0,1,"KstestResult(statistic=0.22, pvalue=0.45200707795194106)","{'gamma': {'a': 0.7692383670112108, 'loc': 0.010218393107593668, 'scale': 0.137890296637435}}",dummy,"I have always drawn satisfaction from exertion, straining my muscles to their limits.",satisfaction,exertion,satisfaction exertion,0,0.158745247,0.011532125,,0.070855615,0.146991622,0.035326087,0.063992359,0.324590164,0.114715654,0.112298105,0.010218393,0.08182386,,0.048758977,0.103544776,0.044136515,0.066728885,0.557981928
19,178,0,0,1,"KstestResult(statistic=0.1225, pvalue=0.9677419474471662)","{'expon': {'loc': 0.020901122739131712, 'scale': 0.09400118933617278}}",dummy,Mr C notes worsening of seizures and cognition with sleep deprivation and stress.,worsening,sleep deprivation,worsening sleep deprivation,0,0.06216558,0.080346106,,0.118086697,0.024417131,0.126146392,0.211640212,0.15470297,0.041904578,0.252873563,,0.157894737,0.263059701,0.103533405,0.079445145,0.064500246,0.020901123,0.076819407
20,181,0,0,1,None,,dummy,Principals respond to a decrease in uncertainty with more aggressive strategies.,decrease,aggressive strategies,decrease aggressive strategies,-1,0.298977853,0.044456097,0.147208122,0.082984658,0.056050524,0.010241106,0.083665339,0.076775891,0.156441718,0.056645852,0.098731224,0.041173153,0.155923345,0.00710318,0.227722772,0.577617329,0.004991962,0.086595492
21,184,0,0,1,None,,dummy,"The man cannot be too old, in his middle thirties, but his face exhibits more wrinkles from smiling than I've seen upon the mug of the happiest of grandparents.",wrinkles,smiling,wrinkles smiling,-1,0.961482431,0.996744865,,0.995096212,0.994951592,0.82183908,0.975098719,0.974269298,0.956887487,0.998032182,0.89181657,0.966064982,0.999084173,0.767729343,0.985054348,0.944540728,0.983907279,0.96398892
22,185,0,1,0,"KstestResult(statistic=0.29777777777777775, pvalue=0.10669599525208873)","{'beta': {'a': 0.8817201201668248, 'b': 0.8853452497123946, 'loc': 0.050758075148319044, 'scale': 0.9495881482281557}}",dummy,But Hong Kong was able to recover from that and is now experiencing strong economic growth from exports.,economic growth,exports,economic growth exports,0,0.492877493,0.212018141,0.613402062,0.390086207,0.527240773,0.050758075,0.417845484,0.31201248,0.408304498,0.999974575,0.793587174,0.46588694,0.924126332,0.933818805,0.252669039,0.543695015,0.187817259,0.148771523
23,186,0,0,1,"KstestResult(statistic=0.13941176470588235, pvalue=0.9006747285242795)","{'beta': {'a': 0.7647472412421046, 'b': 1.1940693650761491, 'loc': 0.026445387002191918, 'scale': 0.35680958705698623}}",dummy,"Furthermore, pain blocking by this cutaneous stimulus only lasts for a short period of time, whereas it is claimed that the effect of pain relief by acupuncture lasts for an extended period of time, sometimes months after the needle was removed.",pain relief,acupuncture,pain relief acupuncture,0,0.157817649,0.049059866,,0.091021672,0.242610837,0.128157733,0.093713278,0.23853211,0.142436511,0.25990099,0.26984127,0.313219532,0.363312556,0.121742235,0.128094726,0.060618226,0.187881874,0.026445387
24,190,0,0,1,None,,dummy,"Complications from these symptoms can include weight gain from excessive eggnog and chocolate intake, and sore throat from excessive singing.",sore throat,singing,sore throat singing,-1,0.981619875,0.983969764,,,0.96969697,0.901741294,0.991574854,,0.983496742,0.999959446,0.993249759,0.906881555,0.999402343,0.857975843,0.977870248,0.984960189,0.557760454,0.084979163
25,191,0,0,1,"KstestResult(statistic=0.14777777777777779, pvalue=0.8419471980126537)","{'beta': {'a': 0.6095928219679326, 'b': 2.391184236807826, 'loc': 0.003550264620095289, 'scale': 0.9581086529354581}}",dummy,"The pipeline had to face the following main concerns from opposition: disturbance of animal migration patterns, environmental damage from spills, geological concerns and the Alaskan permafrost.",environmental damage,spills,environmental damage spills,0,0.658713693,0.122486289,0.361344538,0.424107143,0.455367232,0.016864011,0.299342105,0.162379421,0.661228407,0.164519326,0.491150442,0.033537685,0.887238616,0.00612462,0.125893348,0.473469388,0.003550265,0.137407889
26,192,0,1,0,"KstestResult(statistic=0.1511764705882353, pvalue=0.8413028820655134)","{'beta': {'a': 1.5485445462681833, 'b': 0.8701564789624523, 'loc': 0.15165634588377142, 'scale': 0.6833190235743568}}",dummy,"The tongue has taste buds, but a cat's appetite comes from the smell of the food and doesn't come from the taste of it.",appetite,smell,appetite smell,0,0.564554932,0.752535497,,0.721348315,0.76048951,0.512345679,0.769893709,0.834975369,0.636138614,0.774539877,0.607692308,0.6,0.737612613,0.43902439,0.531609195,0.3075,0.370491803,0.218076285
27,194,0,0,1,None,,dummy,Children with Asperger's Syndrome often experience anxiety from sensory overload.,anxiety,sensory overload,anxiety sensory overload,-1,0.009170034,0.004301217,,0.005395567,0.006622517,0.015616142,0.02449812,0.040793826,0.006421088,0.034510541,0.017467249,0.007162262,0.021911718,0.003868472,0.010803665,0.005406508,0.001119313,0.005449591
28,195,0,0,1,None,,dummy,"This strategy may continue to provide the added benefit of enhanced growth from takeovers, since we anticipate merger activity to remain steady or increase.",growth,takeovers,growth takeovers,-2,0.043993232,0.000608141,0.000994036,0.016889337,0.027197369,0.00053192,0.007763097,0.001449509,0.015641855,0.000862681,0.008402692,0.014724694,0.019047619,0.00055764,0.017507572,0.103084861,2.41E-05,0.000207426
29,197,0,0,1,None,,dummy,"Sometimes the blockage comes from fear, as for a CEO who hates public speaking but must give frequent speeches.",blockage,fear,blockage fear,1,0.989881817,0.987619975,0.997433704,0.93442623,0.983161325,0.948275862,0.913217623,0.990226812,0.992555831,0.985689593,0.985972759,0.912363456,0.998478953,0.944550669,0.984675579,0.987341772,0.902255639,0.912
30,198,0,0,1,"KstestResult(statistic=0.1264705882352941, pvalue=0.9458161402848129)","{'gamma': {'a': 0.9648801361509898, 'loc': 0.000390535681403824, 'scale': 0.010741919267487235}}",dummy,"Progress comes from constructive competition, and churches and religions can benefit greatly from it.",Progress,constructive competition,Progress constructive competition,0,0.001038603,0.010224567,,0.016729628,0.014091204,0.007430095,0.031566044,0.002115656,0.009235936,0.004139047,0.007471233,0.027118348,0.011206328,0.005976566,0.012099012,0.044206813,0.000390536,0.001006108
31,200,0,0,1,"KstestResult(statistic=0.2, pvalue=0.5056375256070467)","{'beta': {'a': 1.043419156052741, 'b': 0.724914464215631, 'loc': 0.5601263021817665, 'scale': 0.4392662239298128}}",dummy,"Initiated during the early 1990's National Mineral Resource Assessment, this project received a major boost from funding provided through the 'Data-at-Risk' add-on funding received by the USGS through the fiscal year.",boost,funding,boost funding,0,0.914920906,0.982977703,0.663230241,0.691176471,0.716216216,0.990178072,0.735245631,0.801687764,0.77510917,0.999392526,0.719280719,0.973695684,0.86638429,0.991818754,0.811620246,0.562880325,0.996348226,0.973390321
32,201,0,0,1,None,,dummy,This durable short sleeve crew neck tee shirt is made of preshrunk cotton to minimize shrinkage after washing.,shrinkage,washing,shrinkage washing,-1,0.921071277,0.956397319,,0.982945736,0.947298199,0.969401571,0.829484574,0.943533698,0.961584924,0.944868951,0.76691042,0.946153846,0.977413283,0.965869836,0.966670023,0.859481583,0.996267428,0.877248677
33,203,0,0,1,None,,dummy,"Gradually I proceeded to reflect upon the consequences of Pleyel's mistake, and on the measures I should take to guard myself against future injury from that man.",injury,man,injury man,-1,0.984125124,0.8975,0.792792793,0.982699776,0.934338425,0.706214689,0.918604651,0.859343332,0.919771735,0.983476154,0.960139657,0.592765461,0.996303027,0.737736578,0.815173527,0.891161432,0.496320523,0.792474344
34,204,0,0,1,"KstestResult(statistic=0.2388888888888889, pvalue=0.29648693523032044)","{'cauchy': {'loc': 0.9892762064173162, 'scale': 0.008159846181993908}}",dummy,Flight disruption after the attacks in the US delayed him there for three days.,Flight disruption,attacks,Flight disruption attacks,0,0.989810771,0.977476662,0.991088632,0.95746428,0.987494809,0.989350835,0.967546866,0.908056153,0.937061301,0.999955192,0.995535485,0.964058405,0.998724402,0.986873623,0.984022318,0.929833417,0.994227727,0.995152552
35,206,0,0,1,None,,dummy,"After several years of self-observation, Alexander began to teach his method of conscious inhibition through manual facilitated movement.",inhibition,manual facilitated movement,inhibition manual facilitated movement,-1,0.019547389,0.303468208,,,0.013992129,0.011936718,0.186846039,,0.033423668,0.03258849,0.156118143,0.608490566,,0.005596411,0.004820937,0.148525765,0.005670145,0.006892061
36,211,0,1,0,"KstestResult(statistic=0.2088888888888889, pvalue=0.45357770903396666)","{'cauchy': {'loc': 0.9662065174917316, 'scale': 0.02508906370537005}}",dummy,"I derive tremendous pleasure and fulfillment from teaching, particularly when I am able to help students understand a previously foreign concept or idea, aid them in seeing a familiar object or event from a new and unusual perspective, guide them with projects they are working on, or encourage the interests they have.",fulfillment,teaching,fulfillment teaching,0,0.925813317,0.955028618,0.117647059,0.998179377,0.971777496,0.892514395,0.805073063,0.978762696,0.905163547,0.999783602,0.985389059,0.976916735,0.974493133,0.931419898,0.959132611,0.889915629,0.981524249,0.947644702
37,212,0,0,1,"KstestResult(statistic=0.265, pvalue=0.24140818054003743)","{'beta': {'a': 0.6385008022798766, 'b': 0.5486164717145696, 'loc': 0.04418880004897441, 'scale': 0.9221753216808708}}",dummy,We planetary citizens have a unique capacity for ecstasy from repetition especially when it comes from drumming.,ecstasy,repetition,ecstasy repetition,0,0.616045845,0.966364122,,0.440740741,0.33195706,0.938123752,0.95143213,0.324,0.46440678,0.570824524,,0.791666667,0.127497621,0.951488165,0.336757991,0.433043478,0.9440684,0.943796394
38,215,0,0,1,"KstestResult(statistic=0.21588235294117647, pvalue=0.437364931140367)","{'beta': {'a': 0.8150466498676106, 'b': 0.5209598769389897, 'loc': -0.04085745756212071, 'scale': 0.8311672272205799}}",dummy,It's very rewarding and I get a great deal of enjoyment and satisfaction from mentoring.,satisfaction,mentoring,satisfaction mentoring,0,0.476056338,0.773175542,,0.591772152,0.654320988,0.070592409,0.533765032,0.650170648,0.488713318,0.753311258,0.517045455,0.177392278,0.79030977,0.116247451,0.673780488,0.473498233,0.036063865,0.20242915
39,217,0,0,1,None,,dummy,"While we can understand Monaco's frustration after losing his position after so many years, the fact is that nothing in the record could support drawing an inference that age played any factor in AGAC's decision to terminate his employment.",frustration,losing,frustration losing,-1,0.583979328,0.648484848,0.651001541,0.598491989,0.516478111,0.575615475,0.647874307,0.720987654,0.583561644,0.737662338,0.444349315,0.536121673,0.438502674,0.556886228,0.549483013,0.644288577,0.908293111,0.583454282
40,219,0,0,1,"KstestResult(statistic=0.13555555555555557, pvalue=0.9011204717210382)","{'invgamma': {'a': 1.4173198452584175, 'loc': 0.0007411171836445433, 'scale': 0.01659493858355455}}",dummy,"Short-term side effects are uncommon, but include headache from eyestrain, nausea, agitation or nervousness.",headache,eyestrain,headache eyestrain,0,0.028760986,0.009261253,0.012048193,0.063180828,0.007016064,0.015583277,0.396946565,0.015665796,0.026785714,0.018977163,0.032576505,0.042858662,0.018012153,0.011686375,0.007700971,0.010609131,0.00913795,0.003848766
