,sentence_source,label,predicted,ks_test,best_distribution,distribution_summary,bayesfactor,max_test,min_test,label_notes,sentence,e1,e2,e1_e2,likelihood_e2_arrow_e1,wiley_e2_arrow_e1,gov.au_e2_arrow_e1,abc.net.au_e2_arrow_e1,nationalgeographic_e2_arrow_e1,smh_e2_arrow_e1,oreilly_e2_arrow_e1,springer_e2_arrow_e1,edu_e2_arrow_e1,wikipedia_e2_arrow_e1,nejm.org_e2_arrow_e1,bbc_e2_arrow_e1,time_e2_arrow_e1,mit.edu_e2_arrow_e1,au.news.yahoo.com_e2_arrow_e1,skynews_e2_arrow_e1,economist_e2_arrow_e1,ncbi.nlm.nih.gov_e2_arrow_e1,nytimes_e2_arrow_e1,IMDB_e2_arrow_e1
10,8107,0,0,None,,,NaNe-Inf ,0.9625,0,dummy,The diseases are caused by gene mutations on the X chromosome.,diseases,gene mutations,diseases gene mutations,1,0.731707317,0.992028344,0.908773156,0.868298368,0.974651208,0.924961715,0.836197022,0.963510613,0.995954891,0.924491772,0.973197508,0.951886466,0.760790051,0.979284369,0.989664892,0.869195923,0.771186441,0.981696754,0.956340956
11,8108,1,1,"KstestResult(statistic=0.2836842105263158, pvalue=0.12409789567651897)","{'t': {'df': 2.1499458506593867, 'loc': 0.9873557343648618, 'scale': 0.015658576628384255}}","          sumsquare_error         aic         bic  kl_div
t            13473.177696  186.832911  133.549643     inf
cauchy       13664.363063   92.959765  130.872921     inf
lognorm      17029.292175  -61.995212  138.000090     inf
norm         17064.973727  -69.915725  135.095420     inf
invgamma     17278.043264  -83.908417  138.275621     inf",inf,0.9963,0.9581,dummy,"The pretexts offered were laughable, and the response caused scarcely a ripple on the flood of commentary on Washington's noble efforts to spread democracy.",response,ripple,response ripple,0,0.994911087,0.991881976,0.97708082,0.97780537,0.97334616,0.989860456,0.99559319,0.998336106,0.999174057,0.99857871,0.978507776,0.981467583,0.95144357,0.862010796,0.993892407,0.948459086,0.999830654,0.944753187,0.783414634
12,8116,0,0,None,,,NaNe-Inf ,0.9827,0,dummy,"Lisa took great joy from laughing, volunteering at school, taking pictures, chatting, the Twins and Vikings, playing softball and volleyball, and time at Lake Vermilion.",joy,laughing,joy laughing,7,0.67262665,0.664488017,0.41576087,0.381656805,0.393055556,0.858961802,0.637873754,0.653102068,0.640271493,0.723390695,0.570155902,0.46835443,0.376693767,0.5,0.636305324,0.552845528,0.795454545,0.748979592,0.532060027
13,8118,1,1,None,,,inf,0.998,0,dummy,The receiver was outputting the same tone to my Deva 5.,receiver,tone,receiver tone,-2,0.40029873,0.59295499,0.269086358,0.16373858,0.122360722,0.519287834,0.391791045,0.295248265,0.388148148,0.147277228,0.148484848,0.160516605,0.424912689,0.304403318,0.459976105,0.085229808,0.563428571,0.391179291,0.092105263
14,8159,1,1,None,,,inf,0.9722,0,dummy,"The presentation uses animation to show how germs and microbes cause sickness, and outlines simple preventive measures.",microbes,sickness,microbes sickness,-1,0.781385281,0.168399168,0.729927007,0.655737705,0.164037855,0.389982111,0.714587738,0.667532468,0.387878788,0.14523975,0.290953545,0.270742358,0.723546633,0.251572327,0.281650071,0.38556338,0.953370953,0.230769231,0.084299469
15,8175,0,0,None,,,NaNe-Inf ,0.9959,0,dummy,"As a result, pollution from cars is causing serious health problems for Americans.",pollution,cars,pollution cars,11,0.329456038,0.156441718,0.04257138,0.513325608,0.129172714,0.130434783,0.469548134,0.104500381,0.000409855,0.146164978,0.078085642,0.34280303,0.188010899,0.284280936,0.159137577,0.231540565,0.663031625,0.140138408,0.004924672
16,8191,1,1,None,,,inf,0.9619,0,dummy,"Rain caused cancellation of the event in 1877, so enforcement of the new law had to wait until 1878.",rain,cancellation,rain cancellation,2,0.966582676,0.720411664,0.955715757,0.925369396,0.820189274,0.679357969,0.951738103,0.739000427,0.995824525,0.820748523,0.930930931,0.574025974,0.831460674,0.462162162,0.704474967,0.785340314,0.82641196,0.853273138,0.925396413
17,8204,0,0,None,,,NaNe-Inf ,0.9586,0,dummy,His trademark steam-engine puffing is revealed as a sound made by a viper spitting venom at his prey before swallowing her whole.,sound,viper,sound viper,5,0.993732476,0.996703847,0.993090149,0.937609739,0.991455657,0.995832657,0.995736207,0.998328539,0.999587832,0.988362825,0.999423737,0.985663082,0.988881908,0.986405591,0.998604964,0.99545287,0.993518475,0.993778085,0.999534353
18,8219,0,1,None,,,inf,0.9994,0,dummy,The deadly train crash was caused by terrorist attack.,crash,attack,crash attack,6,0.031531532,0.422672673,0.362400375,0.271551724,0.414492754,0.275474622,0.086584206,0.090316978,0.00328847,0.034561554,0.062693979,0.389529725,0.155585106,0.299435028,0.266741071,0.293402778,0.010576054,0.089620971,0.39254386
19,8234,0,0,None,,,NaNe-Inf ,0.9646,0,dummy,All the decking on the ramps need to be replaced (for the second time) because of the damage caused by the misuse of the facility.,damage,misuse,damage misuse,30,0.98595236,0.934177788,0.974145891,0.968399592,0.908296943,0.809927361,0.987426766,0.914202793,0.962025316,0.862399387,0.959752322,0.929081913,0.891257996,0.973841342,0.963182117,0.912129895,0.997550657,0.916149068,0.919811321
20,8236,0,1,"KstestResult(statistic=0.1368421052631579, pvalue=0.8816779308474338)","{'gamma': {'a': 1.6258149312699626, 'loc': -0.004480645498099695, 'scale': 0.10883463775730126}}","          sumsquare_error        aic        bic  kl_div
gamma         1724.892027 -54.404588  94.494451     inf
lognorm       1727.521163 -45.850401  94.523390     inf
invgamma      1727.918913 -42.858466  94.527764     inf
cauchy        1748.317020  26.519714  91.806306     inf
expon         1753.756749 -49.818525  91.865331     inf",inf,0.4335,0.9349,dummy,These types of scripts help visually impaired individuals to get more enjoyment from programming because the action on-screen is described for them.,enjoyment,programming,enjoyment programming,0,0.131002466,0.513409962,0.295923769,0.319875776,0.385604113,0.00420637,0.065670048,0.04385726,0.053581829,0.192200557,0.14696814,0.178739417,0.024590585,0.124767225,0.106320636,0.102112676,0.13897281,0.224050633,0.224962255
21,8239,1,1,None,,,inf,0.9652,0,dummy,"Seasonal and nocturnal migrations cause sleep deprivation in diurnal Swainson's thrush, Catharus ustulatus.",migrations,deprivation,migrations deprivation,1,0.898951595,0.884879725,0.598976109,0.989145247,0.807760141,0.965637234,0.930189032,0.677783755,0.90242113,0.517625232,0.7582038,0.537037037,0.761078998,0.81857348,0.793493635,0.690265487,0.93373494,0.566318927,0.687394958
22,8240,1,0,None,,,NaNe-Inf ,0.9977,0.0001,dummy,"The aircraft was written off in the accident due to the severe impact caused by the KLM aircraft, and the resulting fire.",accident,impact,accident impact,12,0.01580674,0.119585687,0.388609715,0.059808612,0.347258486,0.065002355,0.051603905,0.029982363,0.013479931,0.312643678,0.446153846,0.108033241,0.129751806,0.035563593,0.399103139,0.083769634,0.003042187,0.430441899,0.604166667
23,8253,1,1,"KstestResult(statistic=0.2910526315789474, pvalue=0.10713759029122016)","{'gamma': {'a': 0.5245022955398662, 'loc': 0.0015682174594877157, 'scale': 0.11056087979670619}}","          sumsquare_error         aic         bic  kl_div
gamma         5126.805391    4.279821  115.191499     inf
lognorm       5423.201141  -36.927249  116.259366     inf
chi2          5506.555674 -112.347180  116.549174     inf
invgamma      5896.072677  -40.914327  117.847770     inf
expon         5953.024376 -116.588193  115.085976     inf",inf,0.2073,0.0877,dummy,"The airstrike also resulted in several secondary explosions, leading Marines at the site to suspect that the house may have contained homemade bombs.",airstrike,explosions,airstrike explosions,0,0.012224405,0.134860051,0.13368984,0.033472803,0.081193173,0.003355705,0.019437192,0.012765342,0.109672197,0.001568217,0.203007519,0.204081633,0.034299714,0.282051282,0.353432619,0.199189052,0.003522034,0.247915087,0.03305315
24,8257,0,0,None,,,NaNe-Inf ,0.9633,0,dummy,The third conflict has been caused by the highly polluted wastewater from the industrial park around the town of Kemalpasha.,conflict,wastewater,conflict wastewater,6,0.99045561,0.842266462,0.956521739,0.909766981,0.966611707,0.970409485,0.989145658,0.989076681,0.993596259,0.996142755,0.979020979,0.986187522,0.917832168,0.915121619,0.991194969,0.980592441,0.998260787,0.980955115,0.999225459
25,8265,0,0,None,,,NaNe-Inf ,0.9629,0,dummy,The Fujita Scale is used to rate the intensity of a tornado by examining the damage caused by the tornado after it has passed over a man-made structure.,damage,tornado,damage tornado,30,0.997986364,0.995102753,0.962006079,0.838587642,0.968793666,0.919840506,0.998077038,0.986359277,0.947521866,0.987188487,0.921704658,0.890645586,0.937009639,0.891927083,0.905718702,0.973331068,0.999870255,0.703830582,0.782085561
26,8288,0,1,None,,,inf,0.973,0,dummy,This is one of the more common causes of hair loss caused by stress and when you are losing hair because of this your hair stops growing and lies dormant.,hair loss,stress,hair loss stress,-13,0.010424535,0.120622568,0.598101266,0.307865169,0.708376422,0.082538274,0.01175589,0.102773246,0.499124343,0.264566929,0.803193988,0.482248521,0.202496533,0.177394035,0.80179754,0.30958231,0.003136446,0.389968369,0.963262945
27,8312,0,0,"KstestResult(statistic=0.24, pvalue=0.26430410638801294)","{'cauchy': {'loc': 0.9563406537026743, 'scale': 0.036840195714424435}}","         sumsquare_error         aic         bic  kl_div
cauchy      10022.970805 -102.690379  124.984599     inf
norm        10392.046384 -220.271744  125.671662     inf
t           10392.076854 -218.276548  128.616156     inf
lognorm     10395.841261 -218.049076  128.623038     inf
gamma       10434.082330 -220.180040  128.692801     inf",NaNe-Inf ,0.9929,0.3169,dummy,The colors of the rainbow are caused by the dispersion of light as it passes through a prism.,colors,dispersion,colors dispersion,0,0.800839832,0.891530461,0.840981145,0.970939249,0.97972442,0.964360587,0.75959596,0.982327849,0.999980579,0.925925926,0.966087014,0.929398787,0.862019915,0.950685419,0.993363721,0.759325044,0.887239307,0.955194485,0.999955041
28,8334,0,0,None,,,3.59E-152,0.9655,0,dummy,"I won't tell you how much music means now, in these times, when you are battling depression from unemployment.",depression,unemployment,depression unemployment,4,0.957249071,0.321182266,0.384615385,0.948631905,0.811130847,0.575396825,0.958288107,0.85164157,0.913621262,0.95373891,0.683192261,0.408551069,0.716814159,0.333980583,0.941013665,0.279391425,0.994189366,0.510319917,0.787247885
29,8357,1,0,None,,,NaNe-Inf ,0.9897,0,dummy,"The collision resulted in two more crashes in the intersection, including a Central Concrete truck that was about to turn left onto College Ave.",collision,crashes,collision crashes,7,0.756143667,0.348554033,0.09052808,0.367864693,0.70783848,0.359447005,0.798857143,0.652981427,0.250366032,0.400599401,0.234558545,0.109718782,0.499544211,0.197663695,0.254755223,0.187547456,0.752056404,0.21770228,0.180934752
30,8361,0,0,None,,,NaNe-Inf ,0.9783,0,dummy,A good neck support pillow can be used while you are sleeping to remedy the neck pain which has been caused by the stresses and strains of your daily routine.,pain,strains,pain strains,15,0.475095785,0.819419238,0.533039648,0.691823899,0.817901235,0.830238727,0.480980013,0.727619048,0.71899529,0.888746803,0.796328671,0.754008016,0.477005348,0.272662128,0.764082543,0.651391162,0.628599801,0.793875815,0.908937035
31,8373,0,0,None,,,NaNe-Inf ,0.9637,0,dummy,The damage caused by a bullet depends on the amount of energy which it transfers to the tissues.,damage,bullet,damage bullet,30,0.98689283,0.979054827,0.95706078,0.837531486,0.830007981,0.527602524,0.991080278,0.939422181,0.875979714,0.930906082,0.834080717,0.729386892,0.8138833,0.981904895,0.869436202,0.817403709,0.998951992,0.748096657,0.404844291
32,8377,1,1,None,,,inf,1,0,dummy,Neuralgia (TN) is the most common cause of chronic sinusitis headache.,neuralgia,headache,neuralgia headache,-3,0.092043682,0.099706426,0.001780608,,0.003137535,,0.101906158,0.031413613,0.087161366,0.0948651,0.008343592,0.02012913,0.010688102,0.015139183,0.002333722,0.006458023,0.109265899,0.020292033,0.004432562
33,8382,0,0,None,,,NaNe-Inf ,0.9629,0,dummy,The distribution of the damage caused by the earthquake in Valdivia in relation to the form of the terrane.,damage,earthquake,damage earthquake,30,0.979457398,0.979742846,0.89889236,0.749718151,0.915009678,0.866580311,0.983735572,0.919372492,0.907354346,0.968867071,0.914904083,0.782407407,0.844467641,0.978571429,0.857728337,0.805907173,0.999397989,0.845175767,0.740506329
34,8402,0,0,"KstestResult(statistic=0.22736842105263158, pvalue=0.32331926111668974)","{'lognorm': {'s': 1.290592009173679, 'loc': -0.0004975949610776347, 'scale': 0.010003793124553136}}","          sumsquare_error         aic         bic  kl_div
lognorm       1007.340421  480.789852   84.275285     inf
t             1037.591615  671.474390   84.837470     inf
cauchy        1114.281003  597.680846   83.247865     inf
invgamma      2409.854265  350.975384  100.848086     inf
expon         2714.474470  731.428266  100.165257     inf",NaNe-Inf ,1,1,dummy,"The misinterpretation has been caused by the Italian word for vacuum tubes, which is valvole (or tubi a vuoto).",misinterpretation,word,misinterpretation word,0,0.005231744,0.009882424,0.00549806,0.009212585,0.01338102,0.011227649,0.009103858,0.00280318,4.53E-06,0.026463512,0.507526882,0.016357206,0.0223774,0.00498274,0.014565207,0.016592473,0.003186306,0.013272791,0.002473505
35,8403,0,0,None,,,2.87E-77,0.9637,0,dummy,The current Iraqi government is seeking financial compensation from Israel for the damage caused by the bombing of the Osirak nuclear reactor in 1981.,damage,bombing,damage bombing,30,0.990012266,0.944517834,0.693170234,0.771461717,0.560949299,0.85440613,0.990164367,0.916197055,0.706845238,0.947767481,0.697826087,0.5,0.322439219,0.742547425,0.50779896,0.580037665,0.999458627,0.539379475,0.234343434
36,8404,0,0,None,,,1.96E-10,0.9619,0,dummy,"The sheer scale of the death and destruction caused by the 2004 Boxing Day tsunami is impossible to fathom, even five years on.",death,tsunami,death tsunami,17,0.997150997,0.973036342,0.9800822,0.947302384,0.972027546,0.908942825,0.996094781,0.995259031,0.999979084,0.997810629,0.993261792,0.958780628,0.942232193,0.89937667,0.982707718,0.904151574,0.999780791,0.997756368,0.996259498
37,8405,0,0,None,,,NaNe-Inf ,1,0,dummy,As a guitarist I get so much satisfaction from the playing and performing of music.,satisfaction,playing,satisfaction playing,4,0.042189282,0.090819055,0.002182568,0.017423015,0.012074643,0.004715649,0.069767442,0.036391594,1.12E-05,0.155107188,0.00124142,0.034690799,0.044241404,0.144908616,0.00745693,0.10748156,0.02210535,0.005130945,0.000270063
38,8409,0,1,None,,,6.161438,1,0,dummy,"In this paper, we propose a web-based system for prevention of the confidential information leakage caused by the person who is authorized to access.",leakage,person,leakage person,1,0.033685541,0.006519714,0.005362851,0.007017711,0.006022983,0.029440311,0.023794997,0.00336076,2.71E-06,0.038435604,0.004394251,0.003797121,0.074926748,0.009023972,0.004765455,0.022778403,0.005670032,0.004171207,0.000424321
39,8417,1,1,None,,,inf,0.9999,0,dummy,"Clinically, microcracks cause stress or fragility fractures.",microcracks,stress,microcracks stress,-13,0.001568963,0.000229305,5.51E-05,,2.93E-05,0.000819001,0.002062111,0.000367138,0.001072276,8.56E-05,0.000420642,5.71E-05,0.007847834,0.000137506,,,0.0001001,6.82E-05,
40,8439,0,0,None,,,NaNe-Inf ,0.9643,0,dummy,"Finally, Slone's fear of AIDS and the mental distress she suffered from this fear were caused by the needle stab.",fear,stab,fear stab,7,0.938919738,0.904946817,0.794454225,0.895582329,0.62751871,0.942551963,0.943672275,0.981242119,0.676806084,0.904480135,0.728723404,0.939636878,0.852950661,0.981901097,0.751196172,0.934494647,0.967941237,0.891993552,0.840399002
41,8455,0,0,None,,,NaNe-Inf ,0.9642,0,dummy,The suffering caused by the embargo is sometimes reported here as well.,suffering,embargo,suffering embargo,6,0.99466776,0.954107649,0.919136113,0.956340956,0.962604863,0.895685418,0.995459982,0.854563691,0.508426966,0.987536607,0.630536738,0.890410959,0.91886608,0.87456446,0.902879453,0.887774903,0.998361911,0.84691708,0.952145419
42,8471,1,1,None,,,inf,0.9967,0,dummy,Even nuclear energy is among the causes of water pollution.,nuclear energy,pollution,nuclear energy pollution,-11,0.635451505,0.134125637,0.284996411,0.021880727,0.220779221,0.229084538,0.28342246,0.59347181,0.485714286,0.40652819,0.093281148,0.157943708,0.481222707,0.53121175,0.30984556,0.378440367,0.510860821,0.326683292,0.078367725
43,8473,0,0,None,,,NaNe-Inf ,0.995,0,dummy,Sorace was unaware that her anger was caused by the abuse.,anger,abuse,anger abuse,4,0.186189889,0.121983914,0.51588785,0.570469799,0.243518519,0.388791594,0.155446756,0.216494845,0.443251534,0.144144144,0.583769634,0.495884774,0.445065177,0.710682493,0.50862069,0.582535885,0.036392767,0.321361059,0.686064319
44,8476,1,1,None,,,inf,0.9909,0,dummy,"As people discovered that debt and overconsumption cause stress to families, the planet, and each of us, many turned instead to friends.",debt,stress,debt stress,1,0.01010101,0.558704453,0.496031746,0.091445428,0.425442291,0.494195688,0.012583013,0.076664801,0.295566502,0.027297193,0.355920114,0.593023256,0.239726027,0.763394974,0.513921114,0.645687646,0.000426661,0.567213115,0.480686695
45,8486,1,1,None,,,inf,0.9997,0,dummy,"The drone strike that resulted in the death of Pakistan's most wanted terrorist is believed to be a result of deliberately planted false intelligence, sources in South Waziristan have confirmed.",strike,death,strike death,1,0.014228136,0.235961952,0.133386581,0.092548077,0.176695842,0.305186972,0.021323482,0.144970414,0.000465752,0.028320891,0.06835206,0.206779661,0.259585721,0.136013687,0.252181501,0.475343573,0.0007755,0.035098915,0.030495329
46,8489,0,0,None,,,NaNe-Inf ,0.9743,0,dummy,The idea of Roman expansion into North Africa started with the fear and jealousy caused by the great economic power of Carthage.,fear,power,fear power,7,0.057835821,0.069376133,0.369120654,0.264531435,0.35504886,0.090909091,0.093546048,0.036355672,7.69E-05,0.233905579,0.048981051,0.411461022,0.163498099,0.92173913,0.358857143,0.457777778,0.026931709,0.147221044,0.170460293
47,8493,0,0,None,,,NaNe-Inf ,0.9683,0,dummy,"Tides are caused by the gravitational pull of the moon and sun, and the rotation of the Earth.",tides,gravitational pull,tides gravitational pull,3,0.953742204,0.98669026,0.810507409,0.892678034,0.96726712,0.836923077,0.838039716,0.958397535,0.961919088,0.983976529,0.974899764,0.950169875,0.763609792,0.986150388,0.974702381,0.938337802,0.941780822,0.955718926,0.98331998
48,8494,0,0,None,,,0.4239555,0.9782,0.0001,dummy,The dramatic streaks we see in the sky are caused by particles that incinerate before they hit the ground.,streaks,particles,streaks particles,1,0.010671188,0.131221719,0.5041841,0.263869132,0.908521303,0.066339066,0.016706444,0.043977055,0.416326531,0.205405405,0.26405868,0.461964039,0.081623895,0.795858945,0.572742956,0.445236552,0.004013944,0.641086187,0.729437229
49,8498,1,1,None,,,1.47E+280,0.9907,0,dummy,The dust from the extinguishers set off the alarm.,dust,alarm,dust alarm,2,0.665217391,0.597533632,0.652463382,0.782566819,0.510582011,0.422121896,0.573333333,0.608198284,0.719626168,0.548707753,0.474522293,0.470588235,0.670640835,0.369281046,0.383526384,0.466192171,0.614000782,0.47607362,0.543528328
50,8500,1,0,None,,,NaNe-Inf ,0.9635,0,dummy,The drug has a low half-life that makes it ideal for killing of the susceptible bacteria responsible for sleeping sickness.,bacteria,sickness,bacteria sickness,12,0.980900409,0.545454545,0.823467044,0.776266996,0.529850746,0.750517598,0.977096721,0.894039735,0.816696915,0.818661972,0.936288089,0.57014157,0.829042225,0.527896996,0.43258427,0.695538058,0.997478195,0.467191601,0.108577836
51,8503,0,0,None,,,NaNe-Inf ,0.9576,0,dummy,"The pain from an ulcer is usually more severe than pain from indigestion, often gnawing in nature, it sometimes goes through to the back.",pain,indigestion,pain indigestion,15,0.998341681,0.954078722,0.994297172,0.991586538,0.993647609,0.994755245,0.99876623,0.994144437,0.99336312,0.98400984,0.993565937,0.9819202,0.987971557,0.987292739,0.997867154,0.987178862,0.999739404,0.982594048,0.993593934
52,8509,0,0,None,,,NaNe-Inf ,0.9952,0,dummy,The kids get great joy from eating the tomatoes right off the vine.,joy,eating,joy eating,7,0.100367197,0.170378619,0.239187077,0.066874028,0.314487633,0.65961945,0.275613276,0.155916547,0.096467391,0.102393617,0.24380704,0.272559853,0.25015753,0.306886228,0.346007605,0.325062035,0.017461818,0.58698941,0.341145833
53,8512,1,1,None,,,inf,0.9997,0,dummy,"Stroke is one of the leading causes of death, long-term disability, and hospital admission in the industrialized world.",stroke,death,stroke death,2,0.053613054,0.066366704,0.021597006,0.026277608,0.066955983,0.359137056,0.063883618,0.07480525,5.94E-05,0.330065359,0.006539863,0.219479653,0.114857745,0.11558669,0.024695573,0.146052632,0.147683398,0.027520508,0.008401543
54,8520,0,1,"KstestResult(statistic=0.18947368421052632, pvalue=0.5445180040314089)","{'gamma': {'a': 3.5944897003900356, 'loc': -0.022578428898027803, 'scale': 0.09385260745252555}}","          sumsquare_error        aic        bic  kl_div
gamma          998.825115  -0.334068  84.113991     inf
chi2           998.825194  -0.333714  84.113992     inf
lognorm        999.536946   4.137925  84.127527     inf
invgamma       999.816438   5.575346  84.132839     inf
t             1005.471575  18.419566  84.240003     inf",inf,0.3833,0.9225,dummy,"I still shiver as I remember trying to page through economics texts by the flicker from candles while clad in overcoat, scarf, and little knitted gloves with the fingertips cut off, in the 4 p.m.",flicker,candles,flicker candles,0,0.563731932,0.13800206,0.319703913,0.264092664,0.265306122,0.484909457,0.505347594,0.182608696,0.224425059,0.403422983,0.047502449,0.284497445,0.355608592,0.106365615,0.35520362,0.388646288,0.763557484,0.179487179,0.148264984
55,8521,0,0,None,,,NaNe-Inf ,0.9657,0,dummy,The worst pain of all was caused by the torment to her head which was like the pain of thorns pressing into her.,pain,torment,pain torment,15,0.99797023,0.977355734,0.957657301,0.976909414,0.930203364,0.988705474,0.995899238,0.989765514,0.947847682,0.998320134,0.95449912,0.923753666,0.945315812,0.943140794,0.967992652,0.934256055,0.999955774,0.897317299,0.841872058
56,8523,0,0,None,,,NaNe-Inf ,0.975,0,dummy,"Overall, discomfort from braces is typically short in duration and easily managed.",discomfort,braces,discomfort braces,8,0.746652935,0.491961415,0.060647515,0.572519084,0.244142101,0.17147568,0.634020619,0.806859206,0.110405083,0.902837489,0.01862502,0.170124481,0.396674584,0.304347826,,0.351539225,0.823564773,0.444646098,0.261278195
