sentence_source	label	label_notes	sentence
8937	0	Comment:	election appointment
8940	0	Comment:	fever immunizations
8949	0	Comment:	wind draft
8953	1	Comment:	acidity carbon dioxide
8954	0	Comment:	expansion movements
8972	0	Comment:	tail solar wind
8974	0	Comment:	infectious diseases parasites
8987	0	Comment:	interaction layers
8989	0	Comment:	crisis cost
8992	0	Comment:	injuries fireworks
9005	0	Comment:	threat television
9012	1	Comment:	alcohol suicide
9014	0	Comment:	illness chickenpox
9015	0	Comment:	wrinkles sun
9018	1	Comment:	disturbances erosion
9025	1	Comment:	mosaicism mutation
9055	1	Comment:	deleveraging crisis
9057	0	Comment:	dizziness injury
9062	1	Comment:	fainting unconsciousness
9068	0	Comment:	virus pandemic
9073	0	Comment:	burns liquids
9081	1	Comment:	methadone buzz
9083	0	Comment:	flooding cyclone
9087	1	Comment:	fog delays
9110	0	Comment:	process stricture
9111	0	Comment:	scars burns
9119	1	Comment:	dehydration death
9128	0	Comment:	toxins odor
9131	1	Comment:	accident delays
9136	0	Comment:	fire earthquake
9139	0	Comment:	suffering crisis
9146	0	Comment:	infection fungus
9147	0	Comment:	tonsillitis micro-organisms
9148	1	Comment:	hiccups spasm
9161	1	Comment:	landslides deaths
9163	0	Comment:	rain power outage
9167	0	Comment:	irritation chemicals
9168	1	Comment:	humiliation people
9171	1	Comment:	visit sensation
9172	1	Comment:	voltage reaction
9179	1	Comment:	vapor swelling
9181	0	Comment:	reproductive toxicity nitrite
9190	0	Comment:	controversy assignment
9213	1	Comment:	abuse swelling
9221	0	Comment:	harm quake
9224	0	Comment:	infections malodor
9226	1	Comment:	fungi disease
9228	1	Comment:	clashes deaths
9234	0	Comment:	variations stratospheric winds
9259	1	Comment:	bloodshed growth
9280	1	Comment:	anxiety accident
9289	0	Comment:	energy source
9309	0	Comment:	acne cosmetics
9311	0	Comment:	light face
9319	0	Comment:	noise resistors
9323	0	Comment:	light turrets
9328	0	Comment:	phosphorus calcium loss
9342	1	Comment:	dust irritation
9352	0	Comment:	heat metamorphism
9357	0	Comment:	fever stress
9366	1	Comment:	weight collapse
9370	1	Comment:	monsoons change
9372	0	Comment:	explosion blast
9373	1	Comment:	sadness fear
9378	0	Comment:	damage hallucinogens
9379	0	Comment:	flu chills
9394	0	Comment:	blaze fault
9403	1	Comment:	flu stress
9415	1	Comment:	accident death
9427	0	Comment:	fever vaccines
9434	0	Comment:	acne oily skin
9438	1	Comment:	dirt acne
9452	0	Comment:	rules criteria
9464	0	Comment:	rainbows refraction
9467	1	Comment:	storm cancellation
9469	0	Comment:	harm flood
9482	1	Comment:	batteries power
9489	0	Comment:	contractions prostaglandins
9490	1	Comment:	pleasure suffering
9494	1	Comment:	cigarette alarm
9508	1	Comment:	complications deaths
9515	0	Comment:	steam combustion
9519	0	Comment:	shifts gas flows
9524	0	Comment:	lesions hemiparesis
9542	1	Comment:	congestion delays
9556	0	Comment:	competition station
9559	1	Comment:	plasma discharge
9573	1	Comment:	infections disease
9576	1	Comment:	jump deterioration
9582	0	Comment:	spike glitch
9589	0	Comment:	stimulation latency
9597	0	Comment:	coughing inhaling
9601	0	Comment:	outbreak vaccine
9618	0	Comment:	impact slit
9624	0	Comment:	stress panic attacks
9647	1	Comment:	drop recession
9648	1	Comment:	pandemic virus
9659	0	Comment:	unemployment abuse
9673	0	Comment:	acne irritants
9682	0	Comment:	sadness dissatisfaction
9684	0	Comment:	sounds species
9688	1	Comment:	system power
9689	0	Comment:	frustration debugging
9690	0	Comment:	screaming shooting
9695	1	Comment:	water erosion
9698	1	Comment:	papillomavirus warts
9699	0	Comment:	crash meteor
9703	0	Comment:	coughing suffocation
9708	0	Comment:	extinction deforestation
9719	1	Comment:	swine flu disease
9720	0	Comment:	evacuation accident
9722	0	Comment:	devastation flooding
9725	0	Comment:	speech combustion
9727	1	Comment:	ticks discomfort
9731	1	Comment:	raid crisis
9732	1	Comment:	scheme access
9739	0	Comment:	tension fighting
9740	0	Comment:	stress battles
9758	0	Comment:	devastation fire
9769	0	Comment:	storm cold front
9780	0	Comment:	joint problems osteoarthitis
9791	1	Comment:	lice infestation
9797	0	Comment:	destruction war
9812	0	Comment:	accident snarl
9819	0	Comment:	injury person
9829	1	Comment:	interferon fever
9831	0	Comment:	pressure friction
9848	0	Comment:	floods rains
9861	0	Comment:	beam emission
9868	0	Comment:	fire quake
9876	0	Comment:	devastation waste
9899	0	Comment:	disappointment audience
9901	0	Comment:	damage industry
9902	0	Comment:	pollution warming
9919	1	Comment:	disorders drinking
9956	0	Comment:	demolition company
9965	0	Comment:	measure lectures
9967	0	Comment:	closure backup
9974	0	Comment:	devastation tsunami
9975	0	Comment:	scars burns
9979	1	Comment:	coalition activities
9985	0	Comment:	crisis blockade
10003	0	Comment:	blast mishandling
10009	1	Comment:	shortages riots
10012	0	Comment:	noise quake
10038	0	Comment:	coughing smoking
10040	0	Comment:	delays governments
10041	0	Comment:	illness bacteria
10047	0	Comment:	poverty migration
10054	0	Comment:	frustration rejection
10059	0	Comment:	force joystick
10064	0	Comment:	tsunami displacement
10086	0	Comment:	cleaners burning sensation
10090	0	Comment:	dust nosebleeds
10102	0	Comment:	depression suicide
10118	1	Comment:	shot wound
10134	0	Comment:	acne hormonal imbalance
10156	1	Comment:	inflammation pain
10177	0	Comment:	disorders mutation
10182	1	Comment:	power reaction
10209	0	Comment:	storm upwelling
10228	0	Comment:	flood sea
10230	0	Comment:	disaster hurricane
10246	0	Comment:	energy posters
10254	0	Comment:	laughter joke
10257	0	Comment:	explosion crater
10258	0	Comment:	damage aircraft
10267	0	Comment:	accident power outage
10275	0	Comment:	flu fevers
10279	1	Comment:	influenza virus
10281	0	Comment:	wrinkles laughing
10285	0	Comment:	damage virus
10296	0	Comment:	fear robbers
10335	0	Comment:	damage earthquakes
10344	1	Comment:	abscess infection
10350	1	Comment:	fat disease
10373	1	Comment:	electrical short fire
10379	0	Comment:	events dissolution
10382	0	Comment:	contamination residues
10383	0	Comment:	asthma narrowing
10396	0	Comment:	incident entry
10398	0	Comment:	imbalance torque
10417	1	Comment:	fear death
10419	0	Comment:	view perspective
10425	0	Comment:	devastation earthquake
10426	0	Comment:	rash fungal imbalance
10434	0	Comment:	neuron jolt
10466	0	Comment:	tsunamis displacement
10468	1	Comment:	irritants coughing
10481	1	Comment:	decline collapse
10493	1	Comment:	chocolates acne
10500	0	Comment:	coughing allergies
10501	1	Comment:	disturbance overpopulation
10504	1	Comment:	announcement stir
10505	1	Comment:	protein cancer
10523	0	Comment:	deformation filling
10524	0	Comment:	headaches allergies
10528	1	Comment:	breakdown war
10544	0	Comment:	hunger unrest
10545	1	Comment:	ulcers infectious agent
10551	1	Comment:	inconvenience fence
10552	1	Comment:	waves nausea
10577	0	Comment:	clot seizure
10578	0	Comment:	radiation microwaves
10584	1	Comment:	boredom violence
10597	0	Comment:	struggle disturbance
10599	0	Comment:	evacuation explosion
10605	1	Comment:	incidents injuries
10606	1	Comment:	wind fire
10614	0	Comment:	complication irradiation
10622	1	Comment:	bombing deaths
10627	0	Comment:	error tags
10629	1	Comment:	steroids hypertension
10637	1	Comment:	sorrow loss
10639	0	Comment:	winds moisture
10641	1	Comment:	drag atmosphere
10642	1	Comment:	endometriosis infertility
10643	0	Comment:	flooding clogging
10645	1	Comment:	dips y-rays
10646	1	Comment:	vacancy retirement
10650	0	Comment:	performance company
10692	0	Comment:	incidents poisonings
10703	0	Comment:	sadness murder
10704	0	Comment:	light table-lamp
