sentence_source	label	label_notes	sentence
103	0	Comment:	"Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the threat caused by the spell is minimal."
105	0	Comment:	"The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids."
117	1	Comment:	Forward motion of the vehicle through the air caused a suction on the road draft tube.
129	1	Comment:	"The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online."
139	1	Comment:	"Water damage from roof leaks, plumbing leaks or flooding lead to the growth of molds."
145	0	Comment:	The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position.
152	1	Comment:	"The water pushed to the coast resulted in tides as much as three feet above normal, with waves of 5-10 feet atop these tides."
165	1	Comment:	"The charge is the source of an electric field, which carries energy-the electrostatic self-energy."
166	0	Comment:	The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere.
171	0	Comment:	The river had now turned into full flood after the deluge of rain a few days ago.
181	0	Comment:	She mentioned the scandal caused by a BBC documentary on the treatment of children in a special-needs home and asked how the state had responded to these.
189	0	Comment:	The World Health Organization(WHO) found that the radiation release from the Chernobyl accident was 200 times that of the Hiroshima and Nagasaki.
198	0	Comment:	"Also, in the midst of the confusion caused by the coup, the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion."
203	1	Comment:	The accident caused a major traffic snarl on the arterial road.
206	0	Comment:	"The various forms of idealistic, materialistic and agnostic philosophies are subject to the tension caused by the indicated situation."
215	0	Comment:	Contractions of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by irritation anywhere along the length of the nerve.
223	0	Comment:	Plantar warts are caused by a virus that infects the outer layer of skin on the soles of the feet.
269	1	Comment:	The stong earthquake caused a blackout on the sound stage and short-circuited some of the neon-tubed violins.
275	0	Comment:	"Tension Release by Mega Food contains Sensoril, a clinically studied extract of a Ashwagandha that helps to inhibit fatigue and physical tension from everyday stress."
283	1	Comment:	"Cardiovascular disease is one of the leading causes of morbidity and mortality in the UK, as well as in the developed and the developing world."
286	0	Comment:	Dizziness from nasal and sinus pressure usually can be seen on a good nasal examination and a CT of the sinuses.
296	1	"Comment: ""laws"" is a metonymy for ""rule of law"", which is a state"	This meeting establishes the laws which govern the church and the priorities for the coming year.
320	0	Comment:	"Phobia like fear from crowd, fear from insects, fear from height etc all contribute in developing the anxiety disorder."
332	0	Comment:	The hidden preamble or timing signal is employed to mark the time of commencement of the transmission of information pulses from a transmitter.
335	1	Comment:	"Doe's confrontation with the flight attendant caused a commotion on the plane, prolonged the flight's delay, and added to the aggravation already being felt by the passengers and crew."
344	0	Comment:	"The increase of the signal might correspond to formation of the high-density excitons, while the reduction of the signal originates from the relaxation."
345	0	Comment:	We estimate a wind speed associated with the devastation caused by the tornado.
347	0	Comment:	"The basic indicator of the health condition of trees, stands and forests is tree defoliation."
348	0	Comment:	The deficits are caused by people saving too much of their money.
352	1	Comment:	"Heat, wind and smoke cause flight delays."
353	0	Comment:	"In developing countries four-fifths of all the illnesses are caused by water-borne diseases, with diarrhoea being the leading cause of childhood death."
359	0	Comment:	The destruction caused by the bombing of Attorney General Palmer's home.
371	0	Comment:	The second biggest factor affecting the sound produced by a drum is the tension at which the drum head is held against the shell of the drum.
376	0	Comment:	The largest landslide triggered by the earthquake is located approximately 32 kilometers southeast of Muzafarrabad in a tributary valley of the Jhelum River.
380	1	Comment:	"The debris caused a crash on the Schuylkill, and it has been closed for hours because of the mishap."
381	0	Comment:	"A fire triggered by the blasts damaged eight buildings at the plant, including one that was burned down."
391	1	Comment:	Mechanical faults caused delays and cancellations on Wellington's suburban train services this morning.
400	0	Comment:	Relieve spinal stenosis by enlarging the spinal canal to relieve pressure on the spinal cord that has been caused by a herniated or bulging disc.
421	0	Comment:	Passengers have rights in the event of a delay or cancellation that has been caused by the airline.
428	0	Comment:	However Susanoo was in sorrow after the loss of his mother and he was raging in his kingdom.
429	0	Comment:	But the earthquake triggered by the eruption of Thera struck first.
432	1	Comment:	"Diabetes mellitus is one of the leading causes of irreversible blindness worldwide, and, in the United States."
443	0	Comment:	Getting help has reduced the time to reverse all the irritation that had been caused by the fungus.
448	0	Comment:	"On the other hand, the higher the satisfaction from the purchase, the greater the benefit of word-of-mouth referrals and repeat purchasing."
453	0	Comment:	District Judge without a jury and judgment was entered for the defendants on the ground that the accident was caused by the plaintiff's own negligence.
463	0	Comment:	The children descend the ladder after hearing the fire alarm which has been triggered by the wood work workshop catching fire.
484	1	Comment:	The incident caused a brief sensation on the Web among people suspicious that it was a political commentary.
500	1	Comment:	"And this is frequently cited as ""proof"" that saturated fats and cholesterol cause heart disease."
508	1	Comment:	"Many commercial soap, shower gel or cleanser products contain preservatives, colorants and chemicals that cause dryness, rashes, itchiness and roughness on the skin."
516	1	Comment:	Birchwood and Stockton Heath were called to the scene after pyrotechnics used during one of the performances caused a fire on the main stage.
517	1	Comment:	Like a catch-22 the worst part is that acne causes stress and stress triggers acne breakouts.
518	0	Comment:	The US patent system is in a crisis that has been caused by the flood of patent applications being filed at the USPTO every year.
528	0	Comment:	Viral gastroenteritis is a highly contagious infection of the intestines caused by one of several viruses.
536	1	Comment:	Diet fizzy drinks and meat cause heart disease and diabetes.
537	0	Comment:	"We explore the experience of grief after the loss of a parent and offers support; we also make simple suggestions, and we provide a place for sharing memories."
540	0	Comment:	The war mentality was generated by the Iraq war in combination with the constant drum beat of fear at home.
545	1	Comment:	Preeclampsia is still one of the leading causes of maternal mortality.
551	1	Comment:	The demolition was the cause of terror and communal divide is just a way of not letting truth prevail.
559	1	Comment:	"The outbreak resulted in 256 deaths and 3,402 injuries."
576	0	Comment:	"Sip the tea slowly to reduce stomach pain from indigestion, bloating and feeling of fullness."
578	1	Comment:	"Alcohol, substance abuse and poverty all lead to child abuse."
579	1	Comment:	The ATM malfunction caused a rush on the ATM machine until the police sealed off the area.
593	1	Comment:	"Sodium causes fluid retention, which can lead to edema (swelling), increased blood pressure, and in those susceptible patients, congestive heart failure."
602	0	Comment:	In businesses generally the third party claims for the damages that has been caused by the company vehicle.
616	1	Comment: redistribution caused by law	The law established a major redistribution of territorial sovereignty within the Empire.
617	1	Comment:	Infectious mononucleosis due to the Epstein-Barr virus causes exudative tonsillitis or pharyngitis in about one-half of cases.
622	0	Comment:	"During the trial, the prosecution presented ""pictures of burning bodies and human remains as well as images of the explosion triggered by the Pentagon crash."
625	0	Comment:	Extensive damage at the mine has been caused by the strikers.
643	0	Comment: modality is outside	"I too, get a headache from wine, and was always told that it was the sulfites."
657	0	Comment:	"Describing all of the harm caused by the hurricane has filled entire books so this Web page summarizes the total damage and focuses on the damage incurred on Long Island, New York."
665	0	Comment:	"Information is included on the disease caused by the organism, its transmission, geographical distribution, and hosts."
671	1	Comment:	"Infection is one of the commonest causes of death in burn patients, particularly."
674	0	Comment:	I was diagnosed with bipolar disorder following a breakdown triggered by the sudden death of my brother six years ago.
686	1	Comment:	The reactor meltdown caused a chain reaction that destroyed all the towers in the network.
693	0	Comment:	Convulsions that occur after DTaP are caused by a fever.
704	0	Comment:	"As the vehicles caught fire after the collision, the transformers began to explode one after the other."
706	1	Comment:	Fog or smoke cause irritation to those with respiratory sensitivity.
