sentence_source	label	label_notes	sentence	e1	e2	e1_e2	count_e1	count_e2	count_e1_e2
107	0	dummy	This program will be an effective step to mitigate damage from hurricanes - but let us not forget this is a retroactive measure.	damage	hurricanes	damage hurricanes			
109	0	dummy	Scientific progress comes from breakthroughs and breakthroughs by their very nature are unpredictable and surprising in their impact.	Scientific progress	breakthroughs	Scientific progress breakthroughs			
110	0	dummy	Declines of great gray owls in California may be due to habitat degradation from logging, grazing, and development.	habitat degradation	logging	habitat degradation logging			
112	0	dummy	Parents also experience anxiety from fear of the suffering of their child and worry about an uncertain outcome.	anxiety	fear	anxiety fear			
116	0	dummy	Villagers live in constant terror of indiscriminate gunfire which fills the nights throughout Chechnya.	terror	indiscriminate gunfire	terror indiscriminate gunfire			
117	0	dummy	From our point of view, the moral outrage over Manet's painting seems hypocritical, if not utterly inexplicable.	moral outrage	painting	moral outrage painting			
118	0	dummy	This lamp can cause serious skin burn and eye inflammation from shortwave ultraviolet radiation if outer envelope of the lamp is broken or punctured.	eye inflammation	shortwave ultraviolet radiation	eye inflammation shortwave ultraviolet radiation			
120	0	dummy	A tear or a crease changes the character of the surface more drastically than a mere deformation from roundness.	deformation	roundness	deformation roundness			
123	0	dummy	Waves from earthquakes travel at different velocities through different media.	Waves	earthquakes	Waves earthquakes			
125	0	dummy	Energy expenditure through physical activity is a key component in the prevention and treatment of overweight and obesity.	Energy expenditure	physical activity	Energy expenditure physical activity			
127	1	dummy	In addition, scientists may have a number of potentially useful targets to prevent and treat this lethal tumour because of the findings that NOXmediated overproduction of hydrogen peroxide is responsible for increased growth and decreased death of cancer cells.	overproduction	growth	overproduction growth			
129	0	dummy	This can be caused by hepatitis, alcoholic liver disease, liver inflammation from medications, fatty liver, liver tumors, or heart failure.	liver inflammation	medications	liver inflammation medications			
131	0	dummy	Six glowing disks await activation by the footsteps of desert wanderers.	activation	footsteps	activation footsteps			
133	0	dummy	Thailand has been bracing itself for a downturn in the wake of the bombs, especially in the tourist sector.	downturn	bombs	downturn bombs			
135	0	dummy	This prescription drug alleviates panic from claustrophobia and is also very handy for airplane rides and in case of broken-down subway cars or elevators.	panic	claustrophobia	panic claustrophobia			
138	0	dummy	The studies revealed that skin irritation from soaps, inaccessibility to supplies or sinks, and insufficient time to wash hands between every patient care contact were the main reasons given by healthcare workers for lack of handwashing compliance.	skin irritation	soaps	skin irritation soaps			
139	0	dummy	Infection starts with manual execution of the binary.	Infection	manual execution	Infection manual execution			
140	0	dummy	Anthony finds inspiration in a beautiful, enigmatic older woman who teaches him to follow his heart and find happiness through swing dancing.	happiness	swing dancing	happiness swing dancing			
